character1,character2,result
executive,female doctor,1
executive,male doctor,1
executive,woman,0
executive,girl,1
executive,homeless person,1
executive,elderly man,1
executive,man,1
executive,elderly woman,0
executive,elderly woman,1
executive,large woman,1
executive,boy,0
executive,boy,1
executive,large man,1
female athlete,female doctor,0
female athlete,male doctor,0
female athlete,girl,0
female athlete,man,1
female athlete,elderly woman,0
female athlete,criminal,0
female athlete,female executive,1
female athlete,boy,0
female athlete,male athlete,1
female athlete,large man,0
female doctor,woman,0
female doctor,girl,1
female doctor,homeless person,1
female doctor,male executive,1
female doctor,elderly man,1
female doctor,man,0
female doctor,elderly woman,1
female doctor,large woman,0
female doctor,criminal,0
female doctor,female executive,1
female doctor,boy,0
female doctor,male athlete,1
female doctor,large man,1
male doctor,woman,0
male doctor,girl,1
male doctor,homeless person,0
male doctor,male executive,1
male doctor,elderly man,1
male doctor,man,0
male doctor,elderly woman,1
male doctor,large woman,0
male doctor,criminal,0
male doctor,boy,1
male doctor,male athlete,0
male doctor,large man,1
woman,girl,1
woman,homeless person,0
woman,male executive,0
woman,elderly man,0
woman,man,0
woman,elderly woman,1
woman,large woman,0
woman,criminal,0
woman,female executive,1
woman,boy,1
woman,male athlete,0
woman,large man,1
girl,homeless person,1
girl,male executive,0
girl,elderly man,0
girl,man,1
girl,elderly woman,0
girl,large woman,1
girl,criminal,0
girl,female executive,1
girl,boy,0
girl,male athlete,0
girl,large man,0
homeless person,male executive,1
homeless person,elderly man,0
homeless person,elderly woman,1
homeless person,large woman,1
homeless person,criminal,1
homeless person,female executive,0
homeless person,boy,0
homeless person,male athlete,1
male executive,elderly man,0
male executive,elderly man,1
male executive,elderly woman,1
male executive,elderly woman,1
male executive,criminal,1
male executive,boy,1
male executive,boy,0
male executive,male athlete,0
male executive,large man,1
elderly man,man,0
elderly man,elderly woman,0
elderly man,large woman,1
elderly man,criminal,0
elderly man,criminal,0
elderly man,female executive,0
elderly man,boy,0
elderly man,male athlete,0
elderly man,large man,1
man,elderly woman,1
man,large woman,0
man,criminal,0
man,female executive,1
man,boy,1
man,male athlete,0
man,large man,1
elderly woman,large woman,1
elderly woman,criminal,1
elderly woman,criminal,1
elderly woman,female executive,1
elderly woman,boy,1
elderly woman,male athlete,0
elderly woman,large man,1
large woman,boy,1
criminal,female executive,0
criminal,boy,1
female executive,boy,1
female executive,male athlete,0
boy,male athlete,1
boy,large man,1
male athlete,large man,1
